,Length,Width,Thickness,Area,Perimeter,Roundness,Solidity,Compactness,AspectRatio,Eccentricity,Extent,Convex hull,Type
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,227.9406,127.7591,22619,643.8133,0,0.9734,1.4583,0,0,0.6812,23237.5,MAMRA
1,0,234.1881,128.1995,23038,680.9848,0,0.9573,1.6018,0,0,0.6564,24065.5,MAMRA
2,0,229.4186,125.7965,22386.5,646.9432,0,0.9673,1.4878,0,0,0.6836,23144,MAMRA
3,0,232.7632,125.9188,22578.5,661.2275,0,0.9655,1.541,0,0,0.6854,23385,MAMRA
4,0,230.1507,107.2534,19068,624.8427,0,0.9514,1.6294,0,0,0.7148,20041,MAMRA
5,0,231.9144,107.7598,19335,615.3869,0,0.9573,1.5586,0,0,0.7279,20196.5,MAMRA
6,0,226.371,106.4794,18583.5,613.9726,0,0.9563,1.6142,0,0,0.7279,19433,MAMRA
7,0,226.1861,102.6231,18069.5,584.86,0,0.969,1.5064,0,0,0.7407,18648,MAMRA
8,413.4772,0,138.1905,41492,1078.9848,0.309,0.951,2.2328,0,0,0.7676,43630.5,MAMRA
9,418.2103,0,129.6599,40630.5,1039.4285,0.2958,0.9559,2.1161,0,0,0.7586,42505.5,MAMRA
10,423.227,0,123.573,39510,1018.9848,0.2808,0.9559,2.0913,0,0,0.7709,41334.5,MAMRA
11,416.7572,0,131.9686,41619.5,1111.2275,0.3051,0.9502,2.361,0,0,0.7486,43800.5,MAMRA
12,372.8986,0,100.8158,28773.5,876.1737,0.2635,0.9585,2.1231,0,0,0.7771,30019,MAMRA
13,364.3938,0,98.4334,27586.5,860.1737,0.2645,0.9598,2.1344,0,0,0.7576,28742.5,MAMRA
14,360.4131,0,99.4545,27204.5,873.2031,0.2667,0.9551,2.2304,0,0,0.7842,28484,MAMRA
15,362.051,0,95.9333,27030.5,848.1737,0.2626,0.9689,2.1179,0,0,0.7741,27898,MAMRA
16,315.5121,169.0671,0,38551.5,831.0853,0.4931,0.9835,1.4257,1.8662,0.8443,0.7771,39198.5,MAMRA
17,318.5227,168.4918,0,38867.5,829.7128,0.4878,0.9805,1.4095,1.8904,0.8486,0.7736,39638.5,MAMRA
18,320.8105,168.2781,0,39255.5,834.8843,0.4856,0.9827,1.413,1.9064,0.8514,0.7838,39948.5,MAMRA
19,317.1518,167.8541,0,39163,838.6417,0.4957,0.9823,1.4291,1.8894,0.8485,0.7721,39870.5,MAMRA
20,397.0078,188.6886,0,55550,1025.8377,0.4487,0.975,1.5075,2.104,0.8798,0.7105,56975,MAMRA
21,401.6898,190.6455,0,56813.5,1033.2519,0.4483,0.9761,1.4954,2.107,0.8802,0.7192,58205.5,MAMRA
22,399.5779,190.5466,0,57463.5,1033.7371,0.4582,0.9751,1.4799,2.097,0.879,0.7238,58928.5,MAMRA
23,399.2358,191.3304,0,56670.5,1038.4234,0.4527,0.9748,1.5142,2.0866,0.8777,0.7103,58137.5,MAMRA
24,412.9481,199.8618,0,62283.5,1458.3301,0.465,0.9106,2.7172,2.0662,0.8751,0.704,68399,MAMRA
25,407.4353,197.8063,0,60394.5,1541.2418,0.4632,0.901,3.1299,2.0598,0.8742,0.682,67030.5,MAMRA
26,390.7553,187.4056,0,55549,1651.0824,0.4632,0.9034,3.9053,2.0851,0.8775,0.6655,61489.5,MAMRA
27,389.5588,189.9082,0,55594,1527.8275,0.4664,0.8947,3.3413,2.0513,0.8731,0.6979,62134,MAMRA
28,380.4919,179.0878,0,51003,1476.3717,0.4486,0.8486,3.4008,2.1246,0.8823,0.6323,60106,MAMRA
29,393.6227,177.829,0,51626.5,1347.9869,0.4243,0.9249,2.8008,2.2135,0.8921,0.6274,55819.5,MAMRA
30,378.1491,175.4712,0,49740.5,1291.2763,0.4429,0.9056,2.6676,2.155,0.8858,0.6421,54928,MAMRA
31,374.5186,170.951,0,47379.5,1297.3595,0.4301,0.9391,2.827,2.1908,0.8897,0.6255,50449.5,MAMRA
32,329.507,0,94.5432,22668,1188.8082,0.2658,0.8065,4.9614,0,0,0.5572,28107,MAMRA
33,331.7146,0,98.1426,24511,1180.1808,0.2836,0.838,4.522,0,0,0.6713,29251,MAMRA
34,325.6017,0,102.6228,24075.5,1189.1097,0.2891,0.8109,4.6737,0,0,0.5757,29688.5,MAMRA
35,336.6143,0,88.58,22932.5,1262.4234,0.2577,0.8355,5.5303,0,0,0.6264,27448,MAMRA
36,326.9599,0,102.4047,25386.5,1081.595,0.3024,0.8688,3.667,0,0,0.5822,29219.5,MAMRA
37,327.3097,0,101.732,25619.5,1068.9676,0.3045,0.9023,3.5493,0,0,0.6633,28394.5,MAMRA
38,338.4678,0,101.7563,25867,1099.0092,0.2875,0.8738,3.7158,0,0,0.5904,29603,MAMRA
